insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S1', '2:27 PM', TO_DATE('11-08-2021', 'dd-mm-yyyy'), 'H5', 'M7');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S2', '10:04 AM', TO_DATE('08-03-2022', 'dd-mm-yyyy'), 'H3', 'M1');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S3', '1:33 PM', TO_DATE('02-10-2023', 'dd-mm-yyyy'), 'H1', 'M6');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S4', '8:56 AM', TO_DATE('21-12-2023', 'dd-mm-yyyy'), 'H9', 'M8');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S5', '9:45 AM', TO_DATE('16-07-2022', 'dd-mm-yyyy'), 'H2', 'M3');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S6', '11:32 AM', TO_DATE('21-10-2023', 'dd-mm-yyyy'), 'H8', 'M9');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S7', '11:01 AM', TO_DATE('22-06-2022', 'dd-mm-yyyy'), 'H10', 'M4');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S8', '3:29 PM', TO_DATE('19-07-2022', 'dd-mm-yyyy'), 'H4', 'M2');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S9', '4:34 PM', TO_DATE('21-10-2023', 'dd-mm-yyyy'), 'H6', 'M10');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S10', '6:44 PM', TO_DATE('17-08-2022', 'dd-mm-yyyy'), 'H7', 'M5');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S11', '9:32 PM', TO_DATE('10-11-2021', 'dd-mm-yyyy'), 'H8', 'M9');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S12', '6:02 PM', TO_DATE('06-02-2022', 'dd-mm-yyyy'), 'H5', 'M2');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S13', '5:22 PM', TO_DATE('27-07-2023', 'dd-mm-yyyy'), 'H10', 'M1');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S14', '1:37 PM', TO_DATE('19-02-2021', 'dd-mm-yyyy'), 'H6', 'M7');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S15', '8:43 AM', TO_DATE('25-05-2022', 'dd-mm-yyyy'), 'H7', 'M4');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S16', '9:48 AM', TO_DATE('18-04-2022', 'dd-mm-yyyy'), 'H1', 'M10');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S17', '8:16 AM', TO_DATE('29-05-2021', 'dd-mm-yyyy'), 'H3', 'M5');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S18', '2:31 PM', TO_DATE('04-05-2021', 'dd-mm-yyyy'), 'H8', 'M2');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S19', '10:06 AM', TO_DATE('14-02-2021', 'dd-mm-yyyy'), 'H2', 'M6');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S20', '8:18 PM', TO_DATE('27-01-2022', 'dd-mm-yyyy'), 'H9', 'M8');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S21', '9:12 AM', TO_DATE('24-06-2021', 'dd-mm-yyyy'), 'H4', 'M3');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S22', '1:52 PM', TO_DATE('30-08-2021', 'dd-mm-yyyy'), 'H6', 'M7');
